iS#theme	mS#title	S#text	iD#score	cD#comp1	iD#comp2	iD#comp3	iD#comp4	iD#comp5
"Política X Ciência: a “pílula do câncer”"	"Ceder a pressão?"	"Relativo à pirula do câncer , é possível afimar que, não só ela deveria ser testada antes da legalização, mas também, que a Dilma foi meio que “forçada” a legaliza-la Percebe-se que a “pílula do câncer”, deveria ter passado por vários testes antes de sua legalização, pois o câncer não é só uma doença, é um conjunto de várias doenças que merecem atenção especial e específica para cada uma delas. Por exemplo, o que faz mal para um doença pode fazer bem para outra, então não se pode generalizar e achar que uma substância “cura” várias doenças ao mesmo tempo. Além disso, a Dilma foi meio que “forçada” a legalizar a substância. Em meio a tantos problemas, como a crise, pessoas querendo tira-la do poder, ela deve ter se sentido “forçada” ou até mesmo comovida pelos protestantes como o caso de uma garota que se pintou de azul e branco e sobre o peito multilado escreveu: “foi preciso, mas foi necessário?”. Com isso, percebe-se que não se deve ceder a pressões, principalmente quando assunto é “pílula do câncer” e quando se é presidente do Brasil."	3.00	1.00	1.00	0.50	0.50	0.00
"Política X Ciência: a “pílula do câncer”"	"Esperança Renovada"	"Aristóteles e Hipócrates, dois filósofos cujas ideias são difundidas e utilizadas até os dias atuais em suas respectivas áreas de atuação: Política e Medicina. O principio é válido para ambos: melhorar a vida das pessoas. Tais vertentes apresentam divergências quanto a substância conhecida como “pílula do câncer”, que é fundamental a sua liberação para o tratamento do tumor maligno. O composto químico já estava sendo desenvolvido e estudado por pesquisadores da Universidade de São Paulo em São Carlos há quase 30 anos, e os pacientes que a utilizaram apresentaram progresso no processo de cura e aqueles que se encontravam em estado terminal obtiveram melhoria na qualidade de vida. As reações provocadas nos organismos de alguns enfermos podem se encaradas como positivas. Mesmo que em outros, a eficácia anteriormente citada não tenha sido manifestada , a substância não comprometeu ainda mais o quadro clinico , portanto, não representa uma ameaça ao paciente. Por se tratar de uma doença que afeta várias funções corporais bem como a integridade emocional, a fosfoetanolamina sintética simboliza uma renovação na esperança por um tratamento bem sucedido. O câncer pode se manifestar em qualquer indivíduo, independente, de sua classe social. Entretanto, o procedimento de cura está longe de ser acessível à todas as camadas sociais. A autorização da distribuição e uso do composto possibilita uma ampliação nas formas de tratamento do tumor maligno bem como o seu barateamento, logo, propiciará melhora na qualidade de vida. Objetivo esse que corresponde a finalidade da política e da medicina."	3.00	0.50	1.00	0.50	0.50	0.50
"Bandido bom é bandido morto?"	"A violência pela violência não vale a pena"	"É incongruente o fato de, em pleno século XXI, os brasileiros ansiarem pelo fim da violência, mas 50% deles afirmarem que bandido bom é bandido morto, como mostra pesquisa. O Brasil, em tese, defende a vida e a liberdade, porém, ao passo em que há fechamentos de escolas a fim de que haja o aumento de prisões, ou existe a influência midiática sobre a opinião pública, tal defesa se torna nula, já que, de certa forma, promove aquelas ânsias. A Constituição Federal afirma o direito à vida, inclusive a exclusão de penas de morte aos criminosos, como algo fundamental ao ser. Porém, à medida que o Estado mata indistintamente em nome da segurança pública, ela se contradiz e mostra-se ineficaz em assegurar tal direito. O caso Amarildo e tantos outros, por exemplo, vieram a público, após investigações midiáticas, e mostraram o mau uso dos títulos policiais. Recentemente, o governador Geraldo Alckmin mostrou-se favorável ao fechamento de escolas públicas para aumentar o sistema carcerário brasileiro. Tal fato revela a dicotomia existente entre desigualdade sócio-educacional e a incompetência de formar alunos e cidadãos críticos sabedores de seus direitos e deveres, por parte do Estado, uma vez que a diminuição do acesso à educação pluralista aumenta as mazelas sociais. De mesmo modo, por pesquisas recentes do DataFolha acerca da reincidência criminosa de ex-dententos, evidencia-se que a ampliação daquele sistema é ineficaz. Analogamente, a realidade sensacionalista exibida por veículos comunicacionais forma inexoravelmente a opinião pública. Pois, ao passo em que jornalistas empoderados da persuasão midiática e mostram opiniões particulares de forma a agradar ao público, mas recheando-as com ódio, a sociedade assimila tais informações e, inconscientemente, em períodos noturnos de descanso, busca o fim da violência com a violência. Nesse sentido, a frase inicial, “bandido bom é bandido morto”, deve ser analisada com cautela, pois está incrementada de valores políticos, segregacionistas e conservadores. Como Pierre de Bourdieu afirmou que os conceitos são criados ao longo da vida dos homens, a busca pela desconstrução e reflexão dessa frase deve ser levada adiante."	5.00	1.00	1.00	1.00	1.00	1.00
"Carta-convite: discutir discriminação na escola"	"Dia 3 de março de 2016"	"Prezados alunos, pais, professores, funcionários e gestores, Estaremos realizando às 19 horas, no dia 20 de maio de 2016, na Escola Júlio*, uma reunião a respeito da discriminação sexual. E temos o prazer de convocá-los para comparecerem ao encontro, uma vez que este possibilitará diálogos essenciais para a construção de cidadãos mais humanos. Este debate trará pontos importantes sobre a intolerância sexual e cultural, haja vista que ambas estão intrinsecamente ligadas. E, com o objetivo de enriquecer mais o discurso , serão expostos diversos dados, informações e vídeos sobre essa temática que, ainda, trás diversas polêmicas . Apesar das divergências dos pontos de vistas existentes, as perspectivas apresentadas na reunião sempre levarão em consideração a Declaração de Direitos Humanos da ONU - Organização das Nações Unidas. Ainda, será avaliado os possíveis danos que atos preconceituosos podem causar às vítimas. Com isso, colocaremos em pauta a reflexão sobre a humilhação advinda da homofobia. De acordo com a Secretaria Nacional de Direitos Humanos, mais de 300 pessoas ligaram para o disque 100 para denunciar casos de homofobia, número alto, que nos mostra a triste realidade brasileira. Dessa forma, discutiremos as causas e as possíveis soluções que poderão ser tomadas para amenizar casos de intolerância ao nosso redor. Haja vista que pequenos atos podem, sim, gerar grandes mudanças. E para a realização de um debate mais produtivo contamos com a presença dos senhores! Atenciosamente, Alunos do Colégio Júlio * O Colégio Júlio não existe, foi um exemplo criado para a dissertação."	7.50	1.50	2.00	1.00	1.50	1.50
"Artes e educação física: opcionais ou obrigatórias?"	"Educação Física obrigatória; Artes, não."	"Artes e educação física são duas disciplinas que podem se tornar opcionais pela nova reforma do ensino médio. Há de se ponderar; porém, que são áreas com necessidades e finalidades diferentes. Em se tratando da disciplina de educação física, ela é de suma importância para os estudantes e deve ser mantida obrigatória, pois o exercício físico previne problemas cardiovasculares, obesidade e outras enfermidades, e ajuda até mesmo no desempenho dos alunos em matérias teóricas, porque já é conhecido pela ciência que essa prática melhora a memória e a cognição. Além disso, principalmente nas populações mais pobres, a escola pode se tornar o único lugar a se praticar exercícios, e com o advento do horário integral como norma geral às escolas, o sedentarismo tende a crescer significativamente. Já em relação à disciplina de Artes, o quadro é distinto: trata-se de algo ligado à abstração. Necessário sim para a expansão do conhecimento e criatividade; porém, por ser algo mais subjetivo, pode ser substituído por outras atividades culturais sem a necessidade de obrigatoriedade como feiras e oficinas culturais integrando todos os alunos. Portanto, são necessárias ações que resolvam tais impasses. A Educação Física não deve ser retirada das disciplinas obrigatórias, sob risco de até mesmo onerar o sistema de saúde com mais estudantes vítimas do sedentarismo e suas consequências. A disciplina de Artes; porém deve ser de rotina daqueles que realmente se identificam com o assunto e desejam aprender mais. Assim, um ensino médio mais coerente com as necessidades dos estudantes, terá mais qualidade."	4.50	1.00	1.00	0.50	1.00	1.00
"Somos todos corruptos?"	"A corrupção de cada um de nós"	"O Brasil é um país rico e grandioso, com muitas belezas naturais e recursos abundantes, além de seu povo alegre e hospitaleiro, mas, apesar de tantos pontos positivos, continua sendo um país de terceiro mundo e o índice de corrupção é uma das causas desta condição. A corrupção na política é causa dos problemas na distribuição de renda, na saúde e educação, pois os recursos que seriam destinados para essas áreas acabam indo para fins ilícitos para bancar as falcatruas de alguns governantes. Exemplo disso é a Operação Lava Jato que já desmascarou vários esquemas de corrupção envolvendo a alta cúpula do governo, que se utilizou do dinheiro público para benefício próprio. No entanto, através das redes sociais, várias atitudes corruptas de cidadãos comuns esta sendo escancarada para que todos possam ver. A corrupção do dia a dia e do jeitinho brasileiro de ser que é tão ruim quanto a dos governantes do país. A foto da moça que pegou todos os Gatorades que deveriam ser distribuídos para vários cidadãos fez com que muitos se dessem conta do problema moral que esta enraizado na cultura brasileira. Diante do exposto, a corrupção é um mal que deve ser combatido em todas as esferas da sociedade, porque ela é a causa de várias injustiças neste país, ela é o motivo dos recursos, tão abundantes, serem utilizados de forma pródiga beneficiando uma pequena parcela da população em detrimento da maioria de brasileiros que vivem em situação de pobreza em um país tão rico."	10.00	2.00	2.00	2.00	2.00	2.00
"Disciplina, ordem e autoridade favorecem a educação?"	"Escola militar!"	"Em uma época na qual vivemos hoje, onde o maior índice de drogas é na porta das escolas, acredito que a educacao militar de forma rigida, porem aberta a ouvir os alunos, seria talvez a solucao para o problema de adolescentes com as drogas a sua disposicao e ainda diminuiria o indice de pessoas pouco qualificadas para vagas de emprego. A diciplina dos militares de certa forma deve mudar a perspectiva dos alunos em relacao a forma de levar a propria vida. Hoje tenho 26 anos e estou buscando minha formacao, se meus pais tivessem sido rigidos comigo na epoca do colegial, jamais teria deixado de estudar para trabalhar, e hoje já estaria formada e exercendo a funcao escolhida e trabalhando num cargo a nivel superior."	0.00	0.00	0.00	0.00	0.00	0.00
"Forma física, corpo perfeito e consumismo"	"A beleza e o capital"	"Analisar os padrões de beleza e suas influências na vida dos indivíduos é imprescindível. Nesse sentido, assuntos como a relação do consumismo com o aumento da procura por procedimentos estéticos invasivos devem ser aprofundados. Desse modo, é fundamental questionar: teria o corpo humano se tornado mera mercadoria? Em primeiro lugar, nota-se a influência da TV e das celebridades em disseminar o mito do corpo perfeito. É inegável o poder de persuasivo da propaganda e da boa retórica que, aliado ao alcance massivo da TV, bombardeia milhões de cidadãos com imagens de beldades - normalmente alteradas digitalmente - posando ao lado de textos conativos. Em segundo lugar, observa-se a falta de amor próprio dos indivíduos, que na ânsia de serem “belos” e melhores aceitos, sujeitam-se a procedimentos cirúrgicos perigosos. Em um caso recente, um jovem da cidade de Ribeirão Preto faleceu depois de injetar a substância “hidrogel” em seu pênis, sem a supervisão de um profissional - que com certeza não faria tal aplicação, pelo seu conhecido risco. Em decorrência disso, é inegável o rebaixamento do corpo como uma mera peça decorativa de consumo, e mudar essa realidade pode levar tempo. A escola é uma peça fundamental para a solução do problema, devendo ajudar na desconstrução dos padrões de beleza vigentes e induzir ao pensamento crítico os jovens. O Estado também deve fazer seu papel, obrigando os canais TV e revistas a indicarem quando suas imagens foram alteradas digitalmente para serem mais belas."	9.50	2.00	2.00	1.50	2.00	2.00
"Bandido bom é bandido morto?"	"(Sem título 086)"	"a polêmica desta frase “bandido bom, é bandido morto”. Pra muitos pode ser favorecido a frase, mas para mim não, por quê não são somente os bandidos que causam, a violências, policias também não são nada santinhos, descordo totalmente sobre este tema de pessoas serem a favor desta frase, violência não era para nem existir, se o mundo houvesse mais amor e paciência, a violência não seria praticamente nada, a violência gera a violência, não deveria ter pena de morte nem nada, porque acho que o único que pode tirar nossas vidas, é Deus, por mais que o bandido faça coisas erradas, que cumpre sua pena, seu castigo por anos em uma cadeia, do que ser morto, Deus nos deu o livre arbítrio de escolher nossos caminhos, assim também como sofrer com as consequências. Por isso sou contra a morte e a frase de “bandido bom, é bandido morto”."	2.00	0.50	0.50	0.50	0.50	0.00
"Escola no Brasil: com partido ou sem partido?"	"A velha censura ataca novamente"	"Segundo Hanna Arendt, o objetivo dos regimes totalitários não era imprimir convicções na população, mas destruir a capacidade de formá-las. A organização Escola sem Partido apresentou recentemente uma proposta para o sistema educacional que restringe a liberdade de expressão no país, destruindo a capacidade dos alunos e professores do ensino público de formar suas próprias convicções. O projeto desta organização, que supostamente criaria “escolas sem ideologia e sem partido”, na realidade busca inibir apenas ideologias bem específicas: aquelas que em maior ou menor grau são influenciadas pelo pensamento marxista. Os alunos teriam acesso a “canais de comunicação” para denunciar professores que expressassem apoio a estas ideologias, mas o projeto nada diz a respeito da ideologia do livre mercado ou da ideologia da igreja católica, o que mostra que, longe de ser imparcial, o projeto é bastante tendencioso. Contudo, a Constituição de 1988 garante a liberdade de expressão a todos os brasileiros, tanto política, quanto religiosa ou cultural. É importante notar que o descumprimento desta garantia constitucional abriria espaço para a perseguição seletiva de diversas minorias, sejam elas adeptas de religiões ou partidos políticos. Este tipo de perseguição não se limitaria, a longo prazo, aos professores “esquerdistas” e representaria um atentado à democracia. Portanto, observa-se que o projeto educacional da Escola sem Partido é tendencioso e não deve ter espaço em uma sociedade democrática. É necessário entender que cada pessoa ocupa uma posição concreta na sociedade, com acesso a diferentes meios materiais e intelectuais. Cada um observa o mundo a partir de um ponto de vista único, determinado por sua classe social, religião e cultura e, por isso, é impossível esperar imparcialidade de opinião tanto de alunos quanto de professores."	9.50	2.00	2.00	2.00	2.00	1.50
"Direitos em conflito: liberdade de expressão e intimidade"	"Direitos em conflitos"	"A constituição de 1988, nos garante liberdade de expressão, ao mesmo tempo inválida à vida privada. Esse conflito de direitos pôde ser percebido com o caso da primeira-dama Marcela Temer e, se tornou uma premissa a ser discutida. Após ter sido divulgada pela impressa a conversa de Marcela Temer, essas informações foram censuradas por ordem do juiz. Essa contradição de valores se conflitua simplesmente por serem muito soltas dentro do espaço constitucional, ou seja, não existem um “teto” para esses direitos conforme existem para tanto outros; liberdade religiosa, política que embora entendidas como “liberdade” são submetidos à certas restrições, pois a liberdade de um termina, quando se inicia a do outro o mesmo se aplica à inviolabilidade da vida privada, a menos que se tenha “sujeira debaixo do tapete”. Mediante o exposto, os legisladores devem reformular esses direitos, estabelecendo limites, para que eles não se conflitue e se contradigam, assim como também se deve esclarecer esses limites nas escolas, como sendo uma das instituições fundamentais da sociedade, é juntamente com a comunidade, tornando a mais conciente de seus direitos e limites deles, pois “nossos esforços conjuntos desafiam as impossibilidades” - Charles Chaplin."	0.00	0.00	0.00	0.00	0.00	0.00
"Escravizar é humano?"	"Liberdade! Liberdade! Abre as asas sobre nós"	"“Eu tenho um sonho”, disse Martin Luther King na luta pelos diretos civis para os negros cem anos após a abolição da escravidão estadunidense. Continuamos a sonhar que essa atrocidade tão antiga não afete ainda mais a sociedade atual e que principalmente deixe de existir. Atualmente grande parte da escravidão se encontra camuflada em um sistema muito semelhante ao processo de escravização indígena na América espanhola, onde estes recebiam “algo” pelo trabalho realizado, ou seja, era estabelecido um regime de semi-escravidão. Nesse sentido, as regiões mais populosas do globo são mais afetadas, no atual mundo capitalista, a procura por alta produtividade e baixos custos faz com que os escrúpulos de alguns empresários inexistam, nesta relação capital e todo homem nasce livre e igual perante a lei, a cobiça esta vencendo. Portanto, a luta pelo fim da escravidão é árdua, a ONU (organização das nações unidas) deve juntamente com a OIT (organização internacional do trabalho ), pressionar órgãos financeiros de destaque como o Banco Mundial e O FMI (fundo monetário internacional ) a não financiar escravidão pelo mundo. No Brasil cabe ao ministério do trabalho informar, principalmente os mais humildes, de seus direitos realizando ações, com escolta da polícia federal em regiões mais propensas a tal abuso, pois como disse Abraham Lincoln “se a escravidão não é crime, não há crimes”."	2.50	1.00	0.50	0.50	0.00	0.50
"Artes e educação física: opcionais ou obrigatórias?"	"Cultura e saúde já!"	"Dedicar-se a exercícios físicos e participar de um projeto cultural são atividades extremamente essenciais para o desenvolvimento humano. Escola não é só ficar dentro da sala de aula copiando matéria e sim, participar de atividades mais recreativas como a educação física e a aula de arte. Ter resistência física é algo importantíssimo que precisamos ter em nossa vida. Além de nos ajudar na saúde física, nos ajuda também na saúde mental. Um momento de esporte pode ser um momento de alegria, um lugar onde podemos nos distrair um pouco do mundo lá fora e viver aquela maravilha dentro da quadra. Saber a cultura do nosso país, desenvolver mais conhecimentos à poetas, pintores, escritores, musicistas é uma coisa bonita de se ver. Todo mundo admira aquela pessoa que cita versos de Fernando Pessoa, que sabe argumentar sobre determinada pintura de Picasso, que recita todas as letras das músicas de Caetano Veloso e, tudo isso vem da Arte . Vem da cultura. Ter esportes e culturas incluídos na grade escolar, é indispensável. As pessoas têm que entender que educação física não é brincadeira, ela ajuda nossa saúde, podendo até ajudar pessoas com doenças cardiovasculares, por exemplo . E a Arte, não ensina somente pintura e desenho, ela nos devolve a cultura que um dia possa ter sido perdida nesse mundo, ela nos faz enxergá-lo de outra forma. É imprescindível que, diante de todos esses conhecimentos e argumentos expostos acima seja algo que realmente encare as pessoas com uma visão de mundo mais aberto a conhecimentos à educação. Arte e educação física não são brincadeiras. São coisas que têm que ser muito bem encaradas para que sejam feitas da forma correta."	3.50	1.00	1.00	0.50	0.50	0.50
"A tecnologia e a eliminação de empregos"	"O desemprego estrutural nos dias de hoje"	"É correto afirmar que nos próximos anos do futuro próximo, alguns empregos como o montador de carros ou mesmo o de enfermeira serão extintos. Isso se deve tanto à falta de qualificação profissional adequada das pessoas sobretudo também na gigantesca evolução da tecnologia que sempre se renova. Um professor da Faculdade de Engenharia Elétrica e Computação, Hélio Waldman, numa entrevista cedida para a Universidade de Campinas-SP, nos faz entender que o desemprego atual é comumente relacionado com a tecnologia, porém, uma população sem o mínimo de qualificação ou estudos em áreas específicas dificulta, e muito, os avanços da própria tecnologia no país e na diminuição do desemprego. Certamente, é indispensável relembrar que no Brasil, a atuação de grandes empresas que trabalham com a alta tecnologia é quase que imperceptível e inexistente e é por isso que por muitos anos ainda veremos a etiqueta Made In China nos nossos televisores ou super-computadores . Nesse sentido, estudos feitos pela Faculdade de Oxford, nos Estados Unidos em 2013, revelaram que cerca de 47% dos empregos nos EUA perderiam espaço para a robótica nos próximos anos. Um ano mais tarde, em 2014, o mesmo grupo de pesquisadores constataram que no Reino Unido, cerca de 32% dos empregos mais simples seriam extintos do país. É uma situação de se preocupar, tendo em vista não somente o aumento do desemprego mas também todo o distúrbio social que pousará sobre o mundo todo. Vale ressaltar também que segundo estudos realizados pelo Fórum Econômico Mundial, na Suiça , em Janeiro deste ano, revelam que cerca de 7,1 milhões dos empregos no mundo não existirão mais nas próximas décadas nos grandes centros mundiais. Sendo assim, o governo federal juntamente com os Estados e Municípios deverão se preparar para o fato do desemprego estrutural em nosso território. Sabemos que é necessária a atuação de políticas públicas que engajem no aperfeiçoamento industrial e tecnológico de nossa população . É preciso também que os grandes meios de comunicação em massa se sensibilize e que estimule nas pessoas o desejo de se qualificar e de se conhecer a tecnologia."	3.50	1.00	1.00	0.50	0.50	0.50
"É preferível praticar ou sofrer uma injustiça?"	"Justiça e o Estado Democrático de Direito"	"Ao se pensar a respeito das injustiças, sofridas e praticadas pelas pessoas é possível afirmar que é melhor sofrer uma injustiça a praticá-la. Tal raciocínio ocorre, uma vez que , no Estado Democrático de Direito quem sofre algum dano tem a possibilidade de recorrer ao Poder Judiciário para que ocorra a devida reparação. O primeiro fator que deve ser analisado em relação à situação em questão é que, no Estado de Direito não há espaço para vingança e cabe ao Estado através do Poder Judiciário regular as situações de conflito utilizando-se das leis. Entende-se com isso que em caso de injustiça , a pessoa deve procurar o Órgão judiciário competente para que ocorra a reparação do dano e as devidas sanções cabíveis ao agressor. O segundo fator para reflexão da questão é a existência de instituições fortes e independentes como: o Ministério Público, a Polícia Judiciária e a Defensoria Pública. Pode-se verificar um exemplo disso no caso em que uma pessoa sofre um assalto. Ele procura a Polícia que, através do inquérito policial, irá fazer diligências para encontrar o assaltante. Encontrado o criminoso, caberá ao Ministério Público fazer a denúncia do crime e a Defensoria Pública fazer a sua defesa. E ocorrendo a condenação em juízo, oferecendo a possibilidade do contraditório e da ampla defesa ao acusado, haverá a reparação do dano. Entende-se, portanto, que em um Estado Democrático de Direito, em caso de injustiças existe a possibilidade de reparação do dano pelo Poder Judiciário e instituições fortes e autônomas como: o Ministério Público, a Polícia Judiciária e a Defensoria Pública são engrenagens fundamentais para o bom funcionamento do sistema e para a manutenção da ordem social."	8.00	2.00	1.00	2.00	2.00	1.00
"Mariana: fatalidade ou negligência?"	"O mal de sempre culpar o outro"	"Samarco, empresa mineradora a qual o nome esta relacionado com o maior desastre ambiental do Brasil, ultimamente, aparece nos noticiários como causadora da contaminação do Rio Doce e perda de vidas humanas. Porém, a responsabilidade não pode ser totalmente depositada na empresa, visto que o governo possui uma parcela de culpa. Nenhuma empresa de risco ambiental se instala em município sem autorização das suas autoridades. Antes disso, acontece uma analise , no caso da Samarco, de como será construído uma barragem. O projeto foi apresentado e infelizmente foi aprovado pelos políticos. A estrutura das barragens foi construida utilizando uma técnica de níveis de camada de terra, em que a cada nível aumentado, ocorre um deslocamento na direção da lama represada. Entretanto, essa técnica esta em desuso nos países desenvolvidos por oferecer riscos de rachamento, e consequentemente, desabamento. O desastre ocorrido em Bento Rodrigues, é uma amostra do porque o governo deve dar maior atenção a certos tipos de investimento que pode afetar a população e o meio ambiente. Não se deve pensar, somente, em lucro com receita, porém, em um todo, todos os que poderão ser atingidos por um desastre. Em suma, é notória o quanto a “avalanche” de lama prejudicou a natureza, quanto quem vive dela, como os pescadores. Por causa disso , é preciso que o governo tenha mais cautela ao decidir algo que pode afetar a muitos. É necessário analisar, fiscalizar severamente projetos e empresas, cujo funcionamento pode trazer sérios problemas para o meio ambiente e as populações."	6.50	1.00	1.50	1.50	1.00	1.50
"Pós-verdade, opinião pública e democracia"	"Muros e mentes não são intransponíveis"	"Segundo a mitologia Grega , a cidade de Tróia foi tomada pelos Espartanos após várias tentativas infrutíferas de invadir a cidade. Acreditando na inviolabilidade de suas muralhas os Troianos receberam dos Espartanos , um espólio de guerra, um cavalo de madeira gigante, que acreditavam ser pela vitória. No entanto, os Espartanos usaram essa tática de guerra para se infiltrarem além dos muros da cidade. No mundo contemporâneo, a tática usada pelos Espartanos, foi maquiada e aperfeiçoada com uso da tecnologia, que possibilitou a infiltração às mentes das pessoas pelos mecanismos de comunicação, por àqueles que têm como objetivo a “invasões de cidades”, o que se pode caracterizar como uma pós-verdade. No Brasil, a distorção dos fatos no cenário politico, faz a população acreditar na verdade imposta pela classe social majoritária, no entanto, o grupo de defensores da realidade, liderado pelo juiz federal Sérgio Moro, têm apontado tais distorções, deixando a nação com o livre arbítrio de acreditar ou não nas manipulações impostas. Por conseguinte, as mentiras têm caído por terra deixando claro que temos sido submetidos através dos meios de comunicação a acreditar que nossos muros são intransponíveis. É evidente, portanto que medidas são necessárias para garantir os direitos básicos dos cidadãos sem maquiagens ou manipulações. Desse modo, o Estado garantir através de órgão como Ministério Público a fiscalização e transparência de seus atos, além disso, a sociedade têm que se envolver mais nos assuntos de Estado, não se deixando levar por notícias sensacionalistas ou manipuladoras, buscando sempre a verdade real . Por fim é dever de todos, buscar uma sociedade mais igualitária e harmônica."	5.00	1.50	1.00	1.00	1.00	0.50
"O sucesso vem da escola ou do esforço individual?"	"(Sem título 084)"	"Hoje dependemos igualmente da qualidade de ensino e do esforço individual do aluno, pois o sucesso só é conquistado deste modo. Nos dias de hoje com inúmeros casos de alunos de baixa renda, ou alunos sem apoio familiar conseguirem o tão sonhado emprego, fica claramente explícito que com determinação e esforço o sucesso é possível. Entretanto, para o sucesso ser mais facilmente alcançado a escola tem um importante papel, a escola tem como prioridade aperfeiçoar a capacidade do aluno. Logo, com boa qualidade de ensino e grande desempenho do aluno o sucesso é facilmente alcançado."	0.00	0.00	0.00	0.00	0.00	0.00
"Escravizar é humano?"	"Entre a liberdade e a escravidão"	"Embora a escravidão tenha sido abolida em 1888, com a Lei Áurea, ainda hoje percebe-se a continuidade do trabalho escravo no Brasil. Tal persistência tem relação com a ineficiência das políticas públicas destinadas a combater os diversos tipos de escravidão no país. Sob essa perspectiva, nota-se que, para melhor coibir as práticas escravistas, o governo deve investigar as causas e consequências desse tipo de crime na sociedade brasileira. A princípio, pode-se relacionar a continuidade do trabalho análogo à escravidão ao interesse capitalista das grandes empresas. Na prática, isso significa que, para tornar seus produtos mais competitivos no mercado, as indústrias diminuem seus preços. Dessa forma, para manter o lucro, as fábricas recorrem à mão de obra barata, instalando unidades de produção em locais onde usufruem de leis trabalhistas brandas, possibilitando, assim, a exploração do trabalhador. Além disso, é importante notar que a pobreza e a baixa escolaridade contribuem para aumentar o número de escravos no Brasil. Nesse cenário, muitos trabalhadores, por serem empobrecidos demais ou dependentes de seus exploradores para sobreviverem, acabam não denunciando as condições insalubres a que estão submetidos. Prova disso, são os imigrantes haitianos que vêm para o país. Sem perspectivas trabalhistas , muitos desses cidadãos acabam sendo escravizados no Brasil. Por tudo isso, é fundamental que o Estado adote medidas efetivas para diminuir os índices do trabalho escravo no Brasil. Para tanto, o governo deve não só intensificar as leis já existentes, punindo com rigor os criminosos, como também ampliar o sistema de educação para um maior número de jovens e adultos. Ademais, é importante que a mídia crie campanhas incentivando a população a denunciar os casos de trabalho escravo. Com isso, poderá ser formada uma sociedade mais justa e igualitária, respeitando os direitos humanos."	6.50	1.50	1.00	1.50	1.50	1.00
"É preferível praticar ou sofrer uma injustiça?"	"Ser injustiçado, a melhor forma de se sobressair"	"Em um mundo onde a prática da injustiça tem destaque desde os primórdios, é certo de que a realização ou vivência desse ato não é benéfico nem para o que comete e nem para o que sofre. Porém, deliberando sobre qual seria o mais prejudicial a consciência e dignidade humana, a ação de cometer tal iniquidade se sobressai. E isso, devido a questão de que nenhum conflito é mais danoso que o conflito consigo mesmo. Pois, ao cometer injustiça a alguém, estaremos lidando com este fato por toda nossa vida. Ressentimentos, arrependimentos e até atormentações são aspectos que podem fazer parte da vida do sujeito . Ademais, com tais aspectos , casos de depressão profunda podem se manifestar com facilidade. Como já foram os diversos casos de pessoas que cometeram o feito e não conseguiram processar os acontecimentos posteriores. Além disso, mesmo que o sujeito tenha um enorme contingente de virtudes, nada irá transparecer mais que os atos iníquos cometidos pelo mesmo . E será principalmente por isso que ele será lembrado. Como podemos visualizar ao lembrarmos sobre a injusta morte causada ao general romano Júlio César, morto por seu sobrinho de criação e convivência, Marco Júnio Bruto. Este, por ter agido com má conduta é lembrado até os dias atuais como traidor. Ou seja, realizar o feito injusto sempre deixará a visão suja do indivíduo para os outros. Sendo assim, evidencia-se a escolha do sujeito em ser injustiçado a cometer o mesmo Pois, devemos nos animar por ter de suportar a injustiça, já que a verdadeira desgraça está em comete-la , pensamento do filósofo Pitágoras acerca do ato de injustiça ."	4.50	1.00	1.50	0.50	1.00	0.50
"Pós-verdade, opinião pública e democracia"	"A palavra da vez"	"O Dicionário de Oxford escolheu como palavra do ano uma expressão não muito conhecida: pós-verdade. Estudiosos de Oxford perceberam que nos últimos tempos seu uso passou a ser mais frequente: em artigos acadêmicos, por escritores, nos jornais e nas ruas. Pela definição do dicionário, pós-verdade quer dizer “algo que denota circunstâncias nas quais fatos objetivos têm menos influência para definir a opinião pública do que o apelo à emoção ou crenças pessoais”. Em outras palavras: a verdade perdeu o valor. A pós-verdade é nítida em dois eventos de repercussão global, em que meias verdades e mentiras desempenharam papel fundamental na opinião pública: o movimento Brexit, com a campanha dizendo que a permanência do Reino Unido na União Europeia custa US$ 470 milhões por semana aos cofres britânicos e a eleição de Donald Trump, afirmando que Barack Obama é o criador do Estado Islâmico. De fato, a mentira sempre existiu na política, mas nos dias de hoje a opinião pública está mais vulnerável do que nunca à manipulação, porque a maioria das pessoas aceitam essas mentiras sem questionar, não se guiam pelos fatos, mas pelo o que escolhem ou querem acreditar que é a verdade e evitam o trabalho de conferir a veracidade das teses de que gostam. Além disso, instituições que deveriam facilitar a formação de opiniões, como escolas, ciência, Justiça e mídia vêm sendo vistas com mais desconfiança pelo público, pois tem se revelado fértil para a propagação de mentiras. Portanto, para resolver esse problema, são necessárias as seguintes medidas: deve haver punições e investimentos em campanhas de conscientização da sociedade, orientando as pessoas a buscarem a verdade em fontes com informações confiáveis. Assim, a democracia não será afetada, pois o povo exercerá o seu direito de escolha, sem ser manipulado."	0.00	0.00	0.00	0.00	0.00	0.00
