mS#theme	S#title	S#text	cC#comp1	iC#comp2	iC#comp3	iC#comp4	iC#comp5
"bandido bom e bandido morto?"	"(sem titulo 086)"	"a polemica desta frase “bandido bom, e bandido morto". pra muitos pode ser favorecido a frase, mas para mim nao, por que nao sao somente os bandidos que causam, a violencias, policias tambem nao sao nada santinhos, descordo totalmente sobre este tema de pessoas serem a favor desta frase, violencia nao era para nem existir, se o mundo houvesse mais amor e paciencia, a violencia nao seria praticamente nada, a violencia gera a violencia, nao deveria ter pena de morte nem nada, porque acho que o unico que pode tirar nossas vidas, e deus, por mais que o bandido faca coisas erradas, que cumpre sua pena, seu castigo por anos em uma cadeia, do que ser morto, deus nos deu o livre arbitrio de escolher nossos caminhos, assim tambem como sofrer com as consequencias. por isso sou contra a morte e a frase de “bandido bom, e bandido morto"."	0.50	0.50	0.50	0.50	0.00
"escola no brasil: com partido ou sem partido?"	"a velha censura ataca novamente"	"segundo hanna arendt, o objetivo dos regimes totalitarios nao era imprimir conviccoes na populacao, mas destruir a capacidade de forma-las. a organizacao escola sem partido apresentou recentemente uma proposta para o sistema educacional que restringe a liberdade de expressao no pais, destruindo a capacidade dos alunos e professores do ensino publico de formar suas proprias conviccoes. o projeto desta organizacao, que supostamente criaria “escolas sem ideologia e sem partido", na realidade busca inibir apenas ideologias bem especificas: aquelas que em maior ou menor grau sao influenciadas pelo pensamento marxista. os alunos teriam acesso a “canais de comunicacao” para denunciar professores que expressassem apoio a estas ideologias, mas o projeto nada diz a respeito da ideologia do livre mercado ou da ideologia da igreja catolica, o que mostra que, longe de ser imparcial, o projeto e bastante tendencioso. contudo, a constituicao de 1988 garante a liberdade de expressao a todos os brasileiros, tanto politica, quanto religiosa ou cultural. e importante notar que o descumprimento desta garantia constitucional abriria espaco para a perseguicao seletiva de diversas minorias, sejam elas adeptas de religioes ou partidos politicos. este tipo de perseguicao nao se limitaria, a longo prazo, aos professores “esquerdistas” e representaria um atentado a democracia. portanto, observa-se que o projeto educacional da escola sem partido e tendencioso e nao deve ter espaco em uma sociedade democratica. e necessario entender que cada pessoa ocupa uma posicao concreta na sociedade, com acesso a diferentes meios materiais e intelectuais. cada um observa o mundo a partir de um ponto de vista unico, determinado por sua classe social, religiao e cultura e, por isso, e impossivel esperar imparcialidade de opiniao tanto de alunos quanto de professores."	2.00	2.00	2.00	2.00	1.50
"direitos em conflito: liberdade de expressao e intimidade"	"direitos em conflitos"	"a constituicao de 1988, nos garante liberdade de expressao, ao mesmo tempo invalida a vida privada. esse conflito de direitos pode ser percebido com o caso da primeira-dama marcela temer e, se tornou uma premissa a ser discutida. apos ter sido divulgada pela impressa a conversa de marcela temer, essas informacoes foram censuradas por ordem do juiz. essa contradicao de valores se conflitua simplesmente por serem muito soltas dentro do espaco constitucional, ou seja, nao existem um “teto” para esses direitos conforme existem para tanto outros; liberdade religiosa, politica que embora entendidas como “liberdade” sao submetidos a certas restricoes, pois a liberdade de um termina, quando se inicia a do outro o mesmo se aplica a inviolabilidade da vida privada, a menos que se tenha “sujeira debaixo do tapete". mediante o exposto, os legisladores devem reformular esses direitos, estabelecendo limites, para que eles nao se conflitue e se contradigam, assim como tambem se deve esclarecer esses limites nas escolas, como sendo uma das instituicoes fundamentais da sociedade, e juntamente com a comunidade, tornando a mais conciente de seus direitos e limites deles, pois “nossos esforcos conjuntos desafiam as impossibilidades” - charles chaplin."	0.00	0.00	0.00	0.00	0.00
"escravizar e humano?"	"liberdade! liberdade! abre as asas sobre nos"	”"eu tenho um sonho", disse martin luther king na luta pelos diretos civis para os negros cem anos apos a abolicao da escravidao estadunidense. continuamos a sonhar que essa atrocidade tao antiga nao afete ainda mais a sociedade atual e que principalmente deixe de existir. atualmente grande parte da escravidao se encontra camuflada em um sistema muito semelhante ao processo de escravizacao indigena na america espanhola, onde estes recebiam “algo” pelo trabalho realizado, ou seja, era estabelecido um regime de semi-escravidao. nesse sentido, as regioes mais populosas do globo sao mais afetadas, no atual mundo capitalista, a procura por alta produtividade e baixos custos faz com que os escrupulos de alguns empresarios inexistam, nesta relacao capital e todo homem nasce livre e igual perante a lei, a cobica esta vencendo. portanto, a luta pelo fim da escravidao e ardua, a onu (organizacao das nacoes unidas) deve juntamente com a oit (organizacao internacional do trabalho ), pressionar orgaos financeiros de destaque como o banco mundial e o fmi (fundo monetario internacional ) a nao financiar escravidao pelo mundo. no brasil cabe ao ministerio do trabalho informar, principalmente os mais humildes, de seus direitos realizando acoes, com escolta da policia federal em regioes mais propensas a tal abuso, pois como disse abraham lincoln “se a escravidao nao e crime, nao ha crimes"."	1.00	0.50	0.50	0.00	0.50
"artes e educacao fisica: opcionais ou obrigatorias?"	"cultura e saude ja!"	"dedicar-se a exercicios fisicos e participar de um projeto cultural sao atividades extremamente essenciais para o desenvolvimento humano. escola nao e so ficar dentro da sala de aula copiando materia e sim, participar de atividades mais recreativas como a educacao fisica e a aula de arte. ter resistencia fisica e algo importantissimo que precisamos ter em nossa vida. alem de nos ajudar na saude fisica, nos ajuda tambem na saude mental. um momento de esporte pode ser um momento de alegria, um lugar onde podemos nos distrair um pouco do mundo la fora e viver aquela maravilha dentro da quadra. saber a cultura do nosso pais, desenvolver mais conhecimentos a poetas, pintores, escritores, musicistas e uma coisa bonita de se ver. todo mundo admira aquela pessoa que cita versos de fernando pessoa, que sabe argumentar sobre determinada pintura de picasso, que recita todas as letras das musicas de caetano veloso e, tudo isso vem da arte . vem da cultura. ter esportes e culturas incluidos na grade escolar, e indispensavel. as pessoas tem que entender que educacao fisica nao e brincadeira, ela ajuda nossa saude, podendo ate ajudar pessoas com doencas cardiovasculares, por exemplo . e a arte, nao ensina somente pintura e desenho, ela nos devolve a cultura que um dia possa ter sido perdida nesse mundo, ela nos faz enxerga-lo de outra forma. e imprescindivel que, diante de todos esses conhecimentos e argumentos expostos acima seja algo que realmente encare as pessoas com uma visao de mundo mais aberto a conhecimentos a educacao. arte e educacao fisica nao sao brincadeiras. sao coisas que tem que ser muito bem encaradas para que sejam feitas da forma correta."	1.00	1.00	0.50	0.50	0.50
"a tecnologia e a eliminacao de empregos"	"o desemprego estrutural nos dias de hoje"	"e correto afirmar que nos proximos anos do futuro proximo, alguns empregos como o montador de carros ou mesmo o de enfermeira serao extintos. isso se deve tanto a falta de qualificacao profissional adequada das pessoas sobretudo tambem na gigantesca evolucao da tecnologia que sempre se renova. um professor da faculdade de engenharia eletrica e computacao, helio waldman, numa entrevista cedida para a universidade de campinas-sp, nos faz entender que o desemprego atual e comumente relacionado com a tecnologia, porem, uma populacao sem o minimo de qualificacao ou estudos em areas especificas dificulta, e muito, os avancos da propria tecnologia no pais e na diminuicao do desemprego. certamente, e indispensavel relembrar que no brasil, a atuacao de grandes empresas que trabalham com a alta tecnologia e quase que imperceptivel e inexistente e e por isso que por muitos anos ainda veremos a etiqueta made in china nos nossos televisores ou super-computadores . nesse sentido, estudos feitos pela faculdade de oxford, nos estados unidos em 2013, revelaram que cerca de 47% dos empregos nos eua perderiam espaco para a robotica nos proximos anos. um ano mais tarde, em 2014, o mesmo grupo de pesquisadores constataram que no reino unido, cerca de 32% dos empregos mais simples seriam extintos do pais. e uma situacao de se preocupar, tendo em vista nao somente o aumento do desemprego mas tambem todo o disturbio social que pousara sobre o mundo todo. vale ressaltar tambem que segundo estudos realizados pelo forum economico mundial, na suica , em janeiro deste ano, revelam que cerca de 7,1 milhoes dos empregos no mundo nao existirao mais nas proximas decadas nos grandes centros mundiais. sendo assim, o governo federal juntamente com os estados e municipios deverao se preparar para o fato do desemprego estrutural em nosso territorio. sabemos que e necessaria a atuacao de politicas publicas que engajem no aperfeicoamento industrial e tecnologico de nossa populacao . e preciso tambem que os grandes meios de comunicacao em massa se sensibilize e que estimule nas pessoas o desejo de se qualificar e de se conhecer a tecnologia."	1.00	1.00	0.50	0.50	0.50
"e preferivel praticar ou sofrer uma injustica?"	"justica e o estado democratico de direito"	"ao se pensar a respeito das injusticas, sofridas e praticadas pelas pessoas e possivel afirmar que e melhor sofrer uma injustica a pratica-la. tal raciocinio ocorre, uma vez que , no estado democratico de direito quem sofre algum dano tem a possibilidade de recorrer ao poder judiciario para que ocorra a devida reparacao. o primeiro fator que deve ser analisado em relacao a situacao em questao e que, no estado de direito nao ha espaco para vinganca e cabe ao estado atraves do poder judiciario regular as situacoes de conflito utilizando-se das leis. entende-se com isso que em caso de injustica , a pessoa deve procurar o orgao judiciario competente para que ocorra a reparacao do dano e as devidas sancoes cabiveis ao agressor. o segundo fator para reflexao da questao e a existencia de instituicoes fortes e independentes como: o ministerio publico, a policia judiciaria e a defensoria publica. pode-se verificar um exemplo disso no caso em que uma pessoa sofre um assalto. ele procura a policia que, atraves do inquerito policial, ira fazer diligencias para encontrar o assaltante. encontrado o criminoso, cabera ao ministerio publico fazer a denuncia do crime e a defensoria publica fazer a sua defesa. e ocorrendo a condenacao em juizo, oferecendo a possibilidade do contraditorio e da ampla defesa ao acusado, havera a reparacao do dano. entende-se, portanto, que em um estado democratico de direito, em caso de injusticas existe a possibilidade de reparacao do dano pelo poder judiciario e instituicoes fortes e autonomas como: o ministerio publico, a policia judiciaria e a defensoria publica sao engrenagens fundamentais para o bom funcionamento do sistema e para a manutencao da ordem social."	2.00	1.00	2.00	2.00	1.00
"mariana: fatalidade ou negligencia?"	"o mal de sempre culpar o outro"	"samarco, empresa mineradora a qual o nome esta relacionado com o maior desastre ambiental do brasil, ultimamente, aparece nos noticiarios como causadora da contaminacao do rio doce e perda de vidas humanas. porem, a responsabilidade nao pode ser totalmente depositada na empresa, visto que o governo possui uma parcela de culpa. nenhuma empresa de risco ambiental se instala em municipio sem autorizacao das suas autoridades. antes disso, acontece uma analise , no caso da samarco, de como sera construido uma barragem. o projeto foi apresentado e infelizmente foi aprovado pelos politicos. a estrutura das barragens foi construida utilizando uma tecnica de niveis de camada de terra, em que a cada nivel aumentado, ocorre um deslocamento na direcao da lama represada. entretanto, essa tecnica esta em desuso nos paises desenvolvidos por oferecer riscos de rachamento, e consequentemente, desabamento. o desastre ocorrido em bento rodrigues, e uma amostra do porque o governo deve dar maior atencao a certos tipos de investimento que pode afetar a populacao e o meio ambiente. nao se deve pensar, somente, em lucro com receita, porem, em um todo, todos os que poderao ser atingidos por um desastre. em suma, e notoria o quanto a “avalanche” de lama prejudicou a natureza, quanto quem vive dela, como os pescadores. por causa disso , e preciso que o governo tenha mais cautela ao decidir algo que pode afetar a muitos. e necessario analisar, fiscalizar severamente projetos e empresas, cujo funcionamento pode trazer serios problemas para o meio ambiente e as populacoes."	1.00	1.50	1.50	1.00	1.50
"pos-verdade, opiniao publica e democracia"	"muros e mentes nao sao intransponiveis"	"segundo a mitologia grega , a cidade de troia foi tomada pelos espartanos apos varias tentativas infrutiferas de invadir a cidade. acreditando na inviolabilidade de suas muralhas os troianos receberam dos espartanos , um espolio de guerra, um cavalo de madeira gigante, que acreditavam ser pela vitoria. no entanto, os espartanos usaram essa tatica de guerra para se infiltrarem alem dos muros da cidade. no mundo contemporaneo, a tatica usada pelos espartanos, foi maquiada e aperfeicoada com uso da tecnologia, que possibilitou a infiltracao as mentes das pessoas pelos mecanismos de comunicacao, por aqueles que tem como objetivo a “invasoes de cidades", o que se pode caracterizar como uma pos-verdade. no brasil, a distorcao dos fatos no cenario politico, faz a populacao acreditar na verdade imposta pela classe social majoritaria, no entanto, o grupo de defensores da realidade, liderado pelo juiz federal sergio moro, tem apontado tais distorcoes, deixando a nacao com o livre arbitrio de acreditar ou nao nas manipulacoes impostas. por conseguinte, as mentiras tem caido por terra deixando claro que temos sido submetidos atraves dos meios de comunicacao a acreditar que nossos muros sao intransponiveis. e evidente, portanto que medidas sao necessarias para garantir os direitos basicos dos cidadaos sem maquiagens ou manipulacoes. desse modo, o estado garantir atraves de orgao como ministerio publico a fiscalizacao e transparencia de seus atos, alem disso, a sociedade tem que se envolver mais nos assuntos de estado, nao se deixando levar por noticias sensacionalistas ou manipuladoras, buscando sempre a verdade real . por fim e dever de todos, buscar uma sociedade mais igualitaria e harmonica."	1.50	1.00	1.00	1.00	0.50
"o sucesso vem da escola ou do esforco individual?"	"(sem titulo 084)"	"hoje dependemos igualmente da qualidade de ensino e do esforco individual do aluno, pois o sucesso so e conquistado deste modo. nos dias de hoje com inumeros casos de alunos de baixa renda, ou alunos sem apoio familiar conseguirem o tao sonhado emprego, fica claramente explicito que com determinacao e esforco o sucesso e possivel. entretanto, para o sucesso ser mais facilmente alcancado a escola tem um importante papel, a escola tem como prioridade aperfeicoar a capacidade do aluno. logo, com boa qualidade de ensino e grande desempenho do aluno o sucesso e facilmente alcancado."	0.00	0.00	0.00	0.00	0.00
"escravizar e humano?"	"entre a liberdade e a escravidao"	"embora a escravidao tenha sido abolida em 1888, com a lei aurea, ainda hoje percebe-se a continuidade do trabalho escravo no brasil. tal persistencia tem relacao com a ineficiencia das politicas publicas destinadas a combater os diversos tipos de escravidao no pais. sob essa perspectiva, nota-se que, para melhor coibir as praticas escravistas, o governo deve investigar as causas e consequencias desse tipo de crime na sociedade brasileira. a principio, pode-se relacionar a continuidade do trabalho analogo a escravidao ao interesse capitalista das grandes empresas. na pratica, isso significa que, para tornar seus produtos mais competitivos no mercado, as industrias diminuem seus precos. dessa forma, para manter o lucro, as fabricas recorrem a mao de obra barata, instalando unidades de producao em locais onde usufruem de leis trabalhistas brandas, possibilitando, assim, a exploracao do trabalhador. alem disso, e importante notar que a pobreza e a baixa escolaridade contribuem para aumentar o numero de escravos no brasil. nesse cenario, muitos trabalhadores, por serem empobrecidos demais ou dependentes de seus exploradores para sobreviverem, acabam nao denunciando as condicoes insalubres a que estao submetidos. prova disso, sao os imigrantes haitianos que vem para o pais. sem perspectivas trabalhistas , muitos desses cidadaos acabam sendo escravizados no brasil. por tudo isso, e fundamental que o estado adote medidas efetivas para diminuir os indices do trabalho escravo no brasil. para tanto, o governo deve nao so intensificar as leis ja existentes, punindo com rigor os criminosos, como tambem ampliar o sistema de educacao para um maior numero de jovens e adultos. ademais, e importante que a midia crie campanhas incentivando a populacao a denunciar os casos de trabalho escravo. com isso, podera ser formada uma sociedade mais justa e igualitaria, respeitando os direitos humanos."	1.50	1.00	1.50	1.50	1.00
"e preferivel praticar ou sofrer uma injustica?"	"ser injusticado, a melhor forma de se sobressair"	"em um mundo onde a pratica da injustica tem destaque desde os primordios, e certo de que a realizacao ou vivencia desse ato nao e benefico nem para o que comete e nem para o que sofre. porem, deliberando sobre qual seria o mais prejudicial a consciencia e dignidade humana, a acao de cometer tal iniquidade se sobressai. e isso, devido a questao de que nenhum conflito e mais danoso que o conflito consigo mesmo. pois, ao cometer injustica a alguem, estaremos lidando com este fato por toda nossa vida. ressentimentos, arrependimentos e ate atormentacoes sao aspectos que podem fazer parte da vida do sujeito . ademais, com tais aspectos , casos de depressao profunda podem se manifestar com facilidade. como ja foram os diversos casos de pessoas que cometeram o feito e nao conseguiram processar os acontecimentos posteriores. alem disso, mesmo que o sujeito tenha um enorme contingente de virtudes, nada ira transparecer mais que os atos iniquos cometidos pelo mesmo . e sera principalmente por isso que ele sera lembrado. como podemos visualizar ao lembrarmos sobre a injusta morte causada ao general romano julio cesar, morto por seu sobrinho de criacao e convivencia, marco junio bruto. este, por ter agido com ma conduta e lembrado ate os dias atuais como traidor. ou seja, realizar o feito injusto sempre deixara a visao suja do individuo para os outros. sendo assim, evidencia-se a escolha do sujeito em ser injusticado a cometer o mesmo pois, devemos nos animar por ter de suportar a injustica, ja que a verdadeira desgraca esta em comete-la , pensamento do filosofo pitagoras acerca do ato de injustica ."	1.00	1.50	0.50	1.00	0.50
"pos-verdade, opiniao publica e democracia"	"a palavra da vez"	"o dicionario de oxford escolheu como palavra do ano uma expressao nao muito conhecida: pos-verdade. estudiosos de oxford perceberam que nos ultimos tempos seu uso passou a ser mais frequente: em artigos academicos, por escritores, nos jornais e nas ruas. pela definicao do dicionario, pos-verdade quer dizer “algo que denota circunstancias nas quais fatos objetivos tem menos influencia para definir a opiniao publica do que o apelo a emocao ou crencas pessoais". em outras palavras: a verdade perdeu o valor. a pos-verdade e nitida em dois eventos de repercussao global, em que meias verdades e mentiras desempenharam papel fundamental na opiniao publica: o movimento brexit, com a campanha dizendo que a permanencia do reino unido na uniao europeia custa us$ 470 milhoes por semana aos cofres britanicos e a eleicao de donald trump, afirmando que barack obama e o criador do estado islamico. de fato, a mentira sempre existiu na politica, mas nos dias de hoje a opiniao publica esta mais vulneravel do que nunca a manipulacao, porque a maioria das pessoas aceitam essas mentiras sem questionar, nao se guiam pelos fatos, mas pelo o que escolhem ou querem acreditar que e a verdade e evitam o trabalho de conferir a veracidade das teses de que gostam. alem disso, instituicoes que deveriam facilitar a formacao de opinioes, como escolas, ciencia, justica e midia vem sendo vistas com mais desconfianca pelo publico, pois tem se revelado fertil para a propagacao de mentiras. portanto, para resolver esse problema, sao necessarias as seguintes medidas: deve haver punicoes e investimentos em campanhas de conscientizacao da sociedade, orientando as pessoas a buscarem a verdade em fontes com informacoes confiaveis. assim, a democracia nao sera afetada, pois o povo exercera o seu direito de escolha, sem ser manipulado."	0.00	0.00	0.00	0.00	0.00
"voce faz parte da turma do “eu me acho?”"	"geracao dos narcisos"	"as pessoas da geracao 2000 em diante, tem sido chamados de geracao eu por sempre estarem exigindo elogios e se elevando. sendo assim pessoas com muita autoestima podem se tornam egoistas. jean twenge, escritora do livro ''geracao eu'', afirma que narcisismo leva ao excesso de confianca ou seja a pessoa cria muitas ilusoes e muitas vezes se decepciona e isso e fruto do mimo que recebem dos pais. uma jornalista aposentada revela que quando voce nao permite que seu filho seja independente, ele sempre estara contando com voce para alguma coisa. se voce cria seu filho dando tudo que quiser provavelmente nao sabera viver sem voce. keith campbell, psicologo da universidade da georgia, tambem fala que os pais estao tratando os filhos como pessoas da realeza, estao sempre querendo ser os melhores e se acham superiores. muitas vezes nao assumem os erros e reclamam quando as pessoas nao reconhecem seu valor. conclui-se, portanto, que os pais devem sempre educar bem seus filhos e dar nao muito mais que o necessario, pois eles podem entrar na geracao eu e se tornarem dependentes."	0.00	0.00	0.00	0.00	0.00
"mariana: fatalidade ou negligencia?"	"(sem titulo 087)"	"no mes de novembro deste ano o pais parou diante da maior tragedia ambiental dos ultimos tempos no brasil . vilarejos inteiros desapareceram e com eles, vidas e historias. mariana, localizada no estado de minas gerais foi mais uma vitima das consequencias causadas pelo homem e o seu pensamento irracional. a mineradora samarco ate entao a possivel responsavel pelo desastre tem tentado amenizar os danos que a sua irresponsabilidade causou a todas as pessoas que viviam proximas as barragens. entretanto, como senao bastasse, a enxurrada de lama causando tamanha destruicao, os danos ambientais tambem sao irreparaveis, atingindo o rio doce que corta minas gerais e invadindo o oceano atlantico, deixando milhares de pessoas desoladas. a populacao clama por um responsavel na tentativa de recuperar o ecossistema do lugar, contudo para algo desse porte ser recuperado requer muito dinheiro e tempo. nesse momento outar empresas como a samarco pode usar como exemplo esta tragedia ambiental e social para tomar mediadas preventivas para que novos “incidentes” nao venham acontecer."	0.50	1.00	0.50	0.50	0.50
"perigos do universo digital"	"virtualidade em excesso"	"a facilidade de acesso a internet e as diversas funcoes que ela possibilita tornam internautas cada vez mais dependentes da tecnologia. entretanto, em meio a tantas funcoes beneficas, seu uso em excesso pode causar vicios, problemas de saude e ate proporcionar crimes . a interacao com outras pessoas, jogos, sites de entretenimento, videos, musicas, filmes e compras sao algumas das diversas formas que a internet e usada . o acesso a informacoes em tempo real e tambem um beneficio da tecnologia, impulsionada pela globalizacao que aproxima paises, pessoas e ate a economia mundial atraves da virtualidade. entretanto, em meio a tantas qualidades, o uso excessivo da internet e a dependencia dos internautas tem causado transtornos como a nomofobia. prejudicial a saude mental e fisica, a falta de limite esta deixando a sociedade doente. isolamento social, bullying virtual e sedentarismo sao exemplos de acontecimentos maleficos dessa pratica, que causa preocupacao na sociedade. o crescimento da tecnologia e inevitavel no seculo xxi que e direcionado a inovacoes facilitadoras do cotidiano. porem, o uso da internet deve ser limitado a fim de que nao se torne excessivo e vicioso. um consumo moderado traz inumeros beneficios para a vida pessoal, profissional e ate afetiva, mas e necessario saber usar de maneira saudavel e segura sem deixar que ela tome sua vida, seu tempo e seus hobbies."	1.00	1.00	1.00	0.50	0.50
"escravizar e humano?"	"a escravidao nao foi abolida"	"a escravidao nao e um problema atual. a lei aurea sancionada em 1988 aboliu o trabalho escravo no brasil, mas isso nao significou um fim. na atualidade pode-se notar que a escravidao cresce cada vez mais a cada ano. o brasil esta em 94º no ranking dos paises com trabalho escravo. entao nao esta na hora de acabarmos com a escravidao moderna? grande parte das pessoas escravizadas no mundo sao de areas pobres, com baixos indices de escolaridade. partem de suas cidades em busca de melhores condicoes de vida, mas acabam se deparando com situacoes inseguras de higiene e seguranca. submetendo-se a trabalhos pesados em carvoarias, madeireiras, mineradoras. as mulheres acabam em condicoes de venda e prostituicao. contudo, muitos problemas impedem a resolucao do impasse. a falta de fiscalizacao, que facilita a lucratividade dos empregadores que nao pagam impostos, a baixa escolaridade dos escravizados que muitas vezes nao conhecem que possuem direitos trabalhistas. a ausencia de informacao para os trabalhadores das areas rurais sobre os perigos das ofertas de emprego muito vantajosas. portanto medidas sao necessarias para a resolucao do impasse. como immanuel kant disse o ser humano e aquilo que a educacao faz dele, entao o mec em parceria com a oab deveria instituir nas escolas palestras ministradas por advogados para pais e alunos com o intuito de conscientizar sobre os direitos trabalhistas. a cdhtraf, em parceria com as midias televisivas deveria conscientizar a populacao sobre a importancia da denuncia de casos suspeitos."	1.00	0.50	0.50	1.00	0.50
"disciplina, ordem e autoridade favorecem a educacao?"	"educacao vem de casa"	"antigamente a disciplina era cobrada nas escolas para obter bons resultados dos alunos. mas infelizmente os tempos mudaram e hoje os estudantes estao se rebelando e se destacando entre os piores. mas a culpa nao seria primeiramente de casa? ate que ponto essa indisciplina chegara? o inicio de tudo e com os pais, pois a educacao vem do lar, entao cabe a eles educar e ensinar seus filhos respeitarem as autoridades. se ali nao sao disciplinados a escola nao sera totalmente responsavel pelos maus atos desse aluno . contudo, sabe-se que a responsabilidade de agir com ordem e autoridade esta na direcao das escolas, pois e la que preparam os jovens para o mundo. se nao for ensinado o respeito no ambiente escolar, nao e do lado de fora que vao exerce-lo pelo contrario serao desrespeitados e o colegio ficara de mau exemplo para os proximos a estudar. portanto, pode-se concluir que a educacao vem primeiramente dos pais, mas a ordem, a autoridade e a disciplina nas escolas favorecem completamente o comportamento dos alunos. se em casa nao sao ensinados o mundo os ensinara da pior maneira. como diz a frase de um filosofo “eduque as criancas e nao sera necessario punir os adultos"."	0.00	0.00	0.00	0.00	0.00
"e preferivel praticar ou sofrer uma injustica?"	"desde o tempo de socrates"	"desde o tempo de socrates era evidente que entre praticar ou sofrer uma injustica e preverivel optar por sofrer, pois nao se pode ser feliz fazendo o mal. nesse sentido, o individuo se torna injusto, prejudicando a propria humanidade, trazendo consequencias indesejaveis. a sociedade e dita como injusta, pois na maioria das vezes as pessoas estao no caminho de pratica-la . o culpado torna-se injusto e acaba sobretudo infeliz, onde suas reflexoes sobre atos comecam a vigorar. sendo assim, e evidente que a justica e feita pelos homens e e por isso que se aperfeicoa a medida que a sociedade se desenvolve. alem disso, quando um ser humano e injusto, ele se torna ingrato e egocentrico trazendo assim varios conflitos. o injusto vai contra a ordem do que e sensato porque nao e social e humanista, o que acaba oferecendo discordia e consequentemente a ausencia de paz. fica evidente, portanto o quanto o injusto e a iniquidade em pessoa e as consequencias que oferece a sociedade, faz-se necessario que o ministerio da educacao proporcione aulas de justica social para alunos como materias inclusivas. alem disso, e importante a criacao de ongs que possibilite promover a justica. so assim, a justica se fara presente como ideal do ser humano."	0.00	0.00	0.00	0.00	0.00
"estupro: como prevenir esse crime?"	"reflexos do patriarcado"	"o crime de estupro e um crime que apresenta uma caracteristica muito peculiar em relacao aos demais: a culpabilizacao da vitima. atribui-se a causa ao comportamento, a roupa usada no momento do ato e aos locais que costuma frequentar. tais fatores podem ser facilmente refutados quando se poe em evidencia dados disponibilizados pelo ipea (instituto de pesquisa economica aplicada) que demonstram que mais da metade dos casos sao cometidos contra meninas menores de treze anos. um ponto importante a se analisar e que esse ato e o reflexo de uma sociedade machista, produto de um longo processo de socializacao entre geracoes. como heranca cultural, o meio mais eficaz de se eliminar tal problema e justamente a conscientizacao da populacao e a criacao de leis que garantam a liberdade sexual e a propriedade sobre o proprio corpo, desde que estes nao infiram na liberdade do proximo, de modo a eliminar essa cultura da educacao que as criancas recebem em casa e na escola, tendo em vista que estas sao o futuro da nacao e carregarao consigo os valores que lhes foram passados. desse modo, o primeiro passo e conscientizar a populacao para que estas possam passar as informacoes obtidas tambem em suas casas. ainda mais importante, focar o ensino escolar, em especial o fundamental, na formacao de carater dos estudantes, debatendo assuntos como educacao sexual, participacao do pai na gravidez, identidade de genero e o papel da denuncia na reducao do numero de casos. por ultimo, garantir a penalizacao dos praticantes de atos libidinosos e de agressao a liberdade pessoal e tambem fator primordial. em frente as propostas apresentadas, e interessante ressaltar que a solucao e ampla e demanda tempo, mas que nao poderia deixar de ser , tendo em vista que nao diz respeito somente a vitima e ao agressor, mas a cultura de toda uma sociedade."	1.50	2.00	1.50	1.50	2.00
"direitos em conflito: liberdade de expressao e intimidade"	"conflito entre liberdade de expressao e intimidade: bom senso e necessario"	"a liberdade de expressao, assim como o direito a intimidade sao conquistas historicas. quando um entra em contato com o outro, e preciso pesar com bom senso os dois lados. em epocas de regimes autoritarios como as ditaduras militares na america latina e fascistas na europa, a imprensa nao tinha liberdade para veicular noticias diversas, esbarrando comumente na censura. nessas epocas, as pessoas tambem sofriam graves violacoes em suas vidas privadas por meio de tortura e constrangimentos, por exemplo, mas com a ascencao da democracia no ocidente , esses direitos foram amplamente protegidos por lei. porem, ha casos em que essas garantias sao postas em conflito, como em que figuras publicas, principalmente politicas, sao pauta de noticias que esbarram em sua intimidade. assim, o alvo dessas materias, pode requerer sigilo por se tratar da sua vida privada enquanto a imprensa ve cerceada sua liberdade de expressao. portanto, e preciso avaliar ate onde o direito de expressao pode ser abusivo, lesar a honra do cidadao, e ate mesmo causar transtornos psicologicos ao alvo das noticias. dessa forma, o bem estar do ser humano deve estar a frente da liberdade de expressao quando esta nao for de suma necessidade ao conhecimento publico."	1.00	1.00	1.00	1.00	1.00
"disciplina, ordem e autoridade favorecem a educacao?"	"escola, um lugar onde deve abrir mentes!"	"a escola tem uma importancia fundamental na sociedade, colocando em pratica o aprendizado e formacao de profissionais do futuro. sendo assim, os recursos utilizados e formas praticadas nas instituicoes de ensino podem prejudicar ou ajudar. o papel da escola seria ensinar e adaptar o aluno a sociedade, colocando como base inicial a pratica de cidadania. que poderia ser demonstrada com os colegas e superiores da escola. e tambem ensino de materias didaticas, colocando, assim, a formacao dos profissionais, adequacao de ideias, ideologias, entre outros. metodologias rigidas, poderia trazer desconforto ao crescimento de intelecto do aluno. assim, antonio gramsci deixa como estilo de como deve ser uma escola citando que “a tendencia democratica de escola nao pode consistir apenas em que um operario manual se torne qualificado, mas em que cada cidadao possa se tornar governante". colocando em pauta um estilo de pensamento a ser seguido, mostrando que o papel da escola e deixar e ensinar o caminho para cada aluno. poderia uma escola com militancia almejar uma construcao de escolha ao aluno? utilizacao dos recursos adequados, como: salas de aulas, materiais didaticos e conteudos de ensinos com uma metodologia aberta com os alunos poderia ser a forma que esperaria uma educacao com qualidade. para pode ajudar na linha de raciocinio de cada jovem e deixa-lo livre sobre suas escolhas."	1.00	1.00	0.50	0.50	1.00
